log2Enrich	feature	primary_diagnosis	cohort
1329	0.826	SINE	breast	Control
1330	-2.132	LINE	breast	Control
1331	2.036	CpG-Island	breast	Control
1332	1.853	Promoter	breast	Control
1333	1.288	5UTR	breast	Control
1334	2.345	Exon	breast	Control
1335	0.688	Intron	breast	Control
1336	1.56	TTS	breast	Control
1337	1.39	3UTR	breast	Control
1338	-1.011	Intergenic	breast	Control
1339	0.889	SINE	breast	Control
1340	-2.153	LINE	breast	Control
1341	1.94	CpG-Island	breast	Control
1342	1.934	Promoter	breast	Control
1343	1.292	5UTR	breast	Control
1344	2.424	Exon	breast	Control
1345	0.703	Intron	breast	Control
1346	1.565	TTS	breast	Control
1347	1.394	3UTR	breast	Control
1348	-0.629	Intergenic	breast	Control
1349	0.519	SINE	breast	Control
1350	-2.192	LINE	breast	Control
1351	1.432	CpG-Island	breast	Control
1352	1.644	Promoter	breast	Control
1353	1.143	5UTR	breast	Control
1354	2.07	Exon	breast	Control
1355	0.672	Intron	breast	Control
1356	1.491	TTS	breast	Control
1357	1.269	3UTR	breast	Control
1358	-0.996	Intergenic	breast	Control
1359	0.952	SINE	breast	Control
1360	-1.908	LINE	breast	Control
1361	1.611	CpG-Island	colon	Control
1362	1.531	Promoter	colon	Control
1363	1.113	5UTR	colon	Control
1364	2.274	Exon	colon	Control
1365	0.688	Intron	colon	Control
1366	1.578	TTS	colon	Control
1367	1.427	3UTR	colon	Control
1368	-1.261	Intergenic	colon	Control
1369	1.021	SINE	colon	Control
1370	-1.969	LINE	colon	Control
1371	1.325	CpG-Island	colon	Control
1372	1.527	Promoter	colon	Control
1373	1.079	5UTR	colon	Control
1374	2.011	Exon	colon	Control
1375	0.499	Intron	colon	Control
1376	1.307	TTS	colon	Control
1377	1.18	3UTR	colon	Control
1378	-1.231	Intergenic	colon	Control
1379	1.286	SINE	colon	Control
1380	-1.888	LINE	colon	Control
1381	1.35	CpG-Island	colon	Control
1382	1.751	Promoter	colon	Control
1383	1.159	5UTR	colon	Control
1384	1.846	Exon	colon	Control
1385	0.369	Intron	colon	Control
1386	1.264	TTS	colon	Control
1387	0.977	3UTR	colon	Control
1388	-1.536	Intergenic	colon	Control
1389	1.539	SINE	colon	Control
1390	-1.933	LINE	colon	Control
1391	1.437	CpG-Island	colon	Control
1392	1.724	Promoter	colon	Control
1393	1.203	5UTR	colon	Control
1394	1.883	Exon	colon	Control
1395	0.361	Intron	colon	Control
1396	1.322	TTS	colon	Control
1397	1.047	3UTR	colon	Control
1398	-1.446	Intergenic	colon	Control
1399	1.508	SINE	colon	Control
1400	-1.984	LINE	colon	Control
1401	1.735	CpG-Island	colon	Control
1402	1.477	Promoter	colon	Control
1403	1.263	5UTR	colon	Control
1404	2.258	Exon	colon	Control
1405	0.514	Intron	colon	Control
1406	1.524	TTS	colon	Control
1407	1.274	3UTR	colon	Control
1408	-1.469	Intergenic	colon	Control
1409	1.351	SINE	colon	Control
1410	-2.114	LINE	colon	Control
1411	1.524	CpG-Island	ovary	Control
1412	1.688	Promoter	ovary	Control
1413	1.199	5UTR	ovary	Control
1414	1.932	Exon	ovary	Control
1415	0.692	Intron	ovary	Control
1416	1.471	TTS	ovary	Control
1417	1.321	3UTR	ovary	Control
1418	-1.005	Intergenic	ovary	Control
1419	0.978	SINE	ovary	Control
1420	-1.958	LINE	ovary	Control
1421	0.959	CpG-Island	ovary	Control
1422	1.331	Promoter	ovary	Control
1423	0.993	5UTR	ovary	Control
1424	1.738	Exon	ovary	Control
1425	0.6	Intron	ovary	Control
1426	1.137	TTS	ovary	Control
1427	1.086	3UTR	ovary	Control
1428	-0.932	Intergenic	ovary	Control
1429	1.122	SINE	ovary	Control
1430	-1.775	LINE	ovary	Control
1431	1.324	CpG-Island	ovary	Control
1432	1.445	Promoter	ovary	Control
1433	0.947	5UTR	ovary	Control
1434	1.813	Exon	ovary	Control
1435	0.62	Intron	ovary	Control
1436	1.187	TTS	ovary	Control
1437	1.097	3UTR	ovary	Control
1438	-0.959	Intergenic	ovary	Control
1439	1.134	SINE	ovary	Control
1440	-1.955	LINE	ovary	Control
1441	1.019	CpG-Island	ovary	Control
1442	1.394	Promoter	ovary	Control
1443	0.811	5UTR	ovary	Control
1444	1.731	Exon	ovary	Control
1445	0.583	Intron	ovary	Control
1446	1.159	TTS	ovary	Control
1447	1.079	3UTR	ovary	Control
1448	-0.921	Intergenic	ovary	Control
1449	1.117	SINE	ovary	Control
1450	-1.737	LINE	ovary	Control
1451	1.202	CpG-Island	ovary	Control
1452	1.408	Promoter	ovary	Control
1453	0.917	5UTR	ovary	Control
1454	1.755	Exon	ovary	Control
1455	0.555	Intron	ovary	Control
1456	1.188	TTS	ovary	Control
1457	1.088	3UTR	ovary	Control
1458	-1.105	Intergenic	ovary	Control
1459	1.264	SINE	ovary	Control
1460	-1.856	LINE	ovary	Control
1461	1.437	CpG-Island	lung	Control
1462	1.753	Promoter	lung	Control
1463	1.26	5UTR	lung	Control
1464	2.019	Exon	lung	Control
1465	0.509	Intron	lung	Control
1466	1.376	TTS	lung	Control
1467	1.182	3UTR	lung	Control
1468	-1.436	Intergenic	lung	Control
1469	1.301	SINE	lung	Control
1470	-1.811	LINE	lung	Control
1471	1.508	CpG-Island	lung	Control
1472	1.724	Promoter	lung	Control
1473	1.308	5UTR	lung	Control
1474	1.975	Exon	lung	Control
1475	0.481	Intron	lung	Control
1476	1.31	TTS	lung	Control
1477	1.141	3UTR	lung	Control
1478	-1.34	Intergenic	lung	Control
1479	1.338	SINE	lung	Control
1480	-1.888	LINE	lung	Control
1481	1.351	CpG-Island	lung	Control
1482	1.671	Promoter	lung	Control
1483	1.226	5UTR	lung	Control
1484	1.95	Exon	lung	Control
1485	0.454	Intron	lung	Control
1486	1.256	TTS	lung	Control
1487	1.101	3UTR	lung	Control
1488	-1.396	Intergenic	lung	Control
1489	1.394	SINE	lung	Control
1490	-1.889	LINE	lung	Control
1491	1.877	CpG-Island	lung	Control
1492	1.925	Promoter	lung	Control
1493	1.366	5UTR	lung	Control
1494	2.175	Exon	lung	Control
1495	0.454	Intron	lung	Control
1496	1.499	TTS	lung	Control
1497	1.277	3UTR	lung	Control
1498	-1.472	Intergenic	lung	Control
1499	1.38	SINE	lung	Control
1500	-2.175	LINE	lung	Control
1501	1.298	CpG-Island	lung	Control
1502	1.699	Promoter	lung	Control
1503	1.145	5UTR	lung	Control
1504	1.856	Exon	lung	Control
1505	0.49	Intron	lung	Control
1506	1.186	TTS	lung	Control
1507	1.048	3UTR	lung	Control
1508	-1.376	Intergenic	lung	Control
1509	1.36	SINE	lung	Control
1510	-1.798	LINE	lung	Control
1511	1.303	CpG-Island	pancreas	Control
1512	1.614	Promoter	pancreas	Control
1513	1.123	5UTR	pancreas	Control
1514	1.883	Exon	pancreas	Control
1515	0.517	Intron	pancreas	Control
1516	1.266	TTS	pancreas	Control
1517	1.092	3UTR	pancreas	Control
1518	-1.405	Intergenic	pancreas	Control
1519	1.292	SINE	pancreas	Control
1520	-1.717	LINE	pancreas	Control
1521	1.395	CpG-Island	pancreas	Control
1522	1.634	Promoter	pancreas	Control
1523	1.14	5UTR	pancreas	Control
1524	1.882	Exon	pancreas	Control
1525	0.54	Intron	pancreas	Control
1526	1.209	TTS	pancreas	Control
1527	1.044	3UTR	pancreas	Control
1528	-1.31	Intergenic	pancreas	Control
1529	1.24	SINE	pancreas	Control
1530	-1.759	LINE	pancreas	Control
1531	1.235	CpG-Island	pancreas	Control
1532	1.567	Promoter	pancreas	Control
1533	1.165	5UTR	pancreas	Control
1534	1.834	Exon	pancreas	Control
1535	0.558	Intron	pancreas	Control
1536	1.147	TTS	pancreas	Control
1537	1.032	3UTR	pancreas	Control
1538	-1.178	Intergenic	pancreas	Control
1539	1.186	SINE	pancreas	Control
1540	-1.687	LINE	pancreas	Control
1541	1.351	CpG-Island	pancreas	Control
1542	1.592	Promoter	pancreas	Control
1543	1.088	5UTR	pancreas	Control
1544	1.869	Exon	pancreas	Control
1545	0.564	Intron	pancreas	Control
1546	1.242	TTS	pancreas	Control
1547	1.091	3UTR	pancreas	Control
1548	-1.269	Intergenic	pancreas	Control
1549	1.194	SINE	pancreas	Control
1550	-1.716	LINE	pancreas	Control
1551	1.267	CpG-Island	pancreas	Control
1552	1.625	Promoter	pancreas	Control
1553	1.19	5UTR	pancreas	Control
1554	1.78	Exon	pancreas	Control
1555	0.569	Intron	pancreas	Control
1556	1.158	TTS	pancreas	Control
1557	0.992	3UTR	pancreas	Control
1558	-1.294	Intergenic	pancreas	Control
1559	1.216	SINE	pancreas	Control
1560	-1.687	LINE	pancreas	Control
1561	1.168	CpG-Island	breast	Cancer
1562	1.39	Promoter	breast	Cancer
1563	1.086	5UTR	breast	Cancer
1564	1.555	Exon	breast	Cancer
1565	0.644	Intron	breast	Cancer
1566	0.95	TTS	breast	Cancer
1567	0.766	3UTR	breast	Cancer
1568	-0.621	Intergenic	breast	Cancer
1569	0.713	SINE	breast	Cancer
1570	-1.377	LINE	breast	Cancer
1571	1.324	CpG-Island	breast	Cancer
1572	1.522	Promoter	breast	Cancer
1573	1.21	5UTR	breast	Cancer
1574	1.816	Exon	breast	Cancer
1575	0.507	Intron	breast	Cancer
1576	1.112	TTS	breast	Cancer
1577	0.93	3UTR	breast	Cancer
1578	-1.031	Intergenic	breast	Cancer
1579	1.156	SINE	breast	Cancer
1580	-1.53	LINE	breast	Cancer
1581	1.534	CpG-Island	breast	Cancer
1582	1.308	Promoter	breast	Cancer
1583	1.29	5UTR	breast	Cancer
1584	1.986	Exon	breast	Cancer
1585	0.574	Intron	breast	Cancer
1586	1.218	TTS	breast	Cancer
1587	1.135	3UTR	breast	Cancer
1588	-0.653	Intergenic	breast	Cancer
1589	0.992	SINE	breast	Cancer
1590	-2.007	LINE	breast	Cancer
1591	1.256	CpG-Island	colon	Cancer
1592	1.526	Promoter	colon	Cancer
1593	1.097	5UTR	colon	Cancer
1594	1.794	Exon	colon	Cancer
1595	0.339	Intron	colon	Cancer
1596	1.097	TTS	colon	Cancer
1597	0.974	3UTR	colon	Cancer
1598	-1.212	Intergenic	colon	Cancer
1599	1.348	SINE	colon	Cancer
1600	-1.558	LINE	colon	Cancer
1601	1.423	CpG-Island	colon	Cancer
1602	1.65	Promoter	colon	Cancer
1603	1.337	5UTR	colon	Cancer
1604	1.897	Exon	colon	Cancer
1605	0.497	Intron	colon	Cancer
1606	1.221	TTS	colon	Cancer
1607	1.049	3UTR	colon	Cancer
1608	-1.163	Intergenic	colon	Cancer
1609	1.262	SINE	colon	Cancer
1610	-1.863	LINE	colon	Cancer
1611	1.478	CpG-Island	colon	Cancer
1612	1.691	Promoter	colon	Cancer
1613	1.212	5UTR	colon	Cancer
1614	1.763	Exon	colon	Cancer
1615	0.41	Intron	colon	Cancer
1616	1.166	TTS	colon	Cancer
1617	0.89	3UTR	colon	Cancer
1618	-1.147	Intergenic	colon	Cancer
1619	1.302	SINE	colon	Cancer
1620	-1.703	LINE	colon	Cancer
1621	1.16	CpG-Island	colon	Cancer
1622	1.41	Promoter	colon	Cancer
1623	1.149	5UTR	colon	Cancer
1624	1.761	Exon	colon	Cancer
1625	0.566	Intron	colon	Cancer
1626	1.281	TTS	colon	Cancer
1627	1.068	3UTR	colon	Cancer
1628	-1.36	Intergenic	colon	Cancer
1629	1.247	SINE	colon	Cancer
1630	-1.657	LINE	colon	Cancer
1631	1.167	CpG-Island	colon	Cancer
1632	1.295	Promoter	colon	Cancer
1633	1.018	5UTR	colon	Cancer
1634	1.459	Exon	colon	Cancer
1635	0.498	Intron	colon	Cancer
1636	0.975	TTS	colon	Cancer
1637	0.834	3UTR	colon	Cancer
1638	-0.812	Intergenic	colon	Cancer
1639	1.103	SINE	colon	Cancer
1640	-1.571	LINE	colon	Cancer
1641	1.388	CpG-Island	colon	Cancer
1642	1.589	Promoter	colon	Cancer
1643	1.258	5UTR	colon	Cancer
1644	1.903	Exon	colon	Cancer
1645	0.471	Intron	colon	Cancer
1646	1.169	TTS	colon	Cancer
1647	1.047	3UTR	colon	Cancer
1648	-1.136	Intergenic	colon	Cancer
1649	1.22	SINE	colon	Cancer
1650	-1.703	LINE	colon	Cancer
1651	1.234	CpG-Island	colon	Cancer
1652	1.45	Promoter	colon	Cancer
1653	1.173	5UTR	colon	Cancer
1654	1.751	Exon	colon	Cancer
1655	0.434	Intron	colon	Cancer
1656	1.125	TTS	colon	Cancer
1657	0.924	3UTR	colon	Cancer
1658	-1.304	Intergenic	colon	Cancer
1659	1.35	SINE	colon	Cancer
1660	-1.637	LINE	colon	Cancer
1661	1.335	CpG-Island	colon	Cancer
1662	1.5	Promoter	colon	Cancer
1663	1.171	5UTR	colon	Cancer
1664	1.613	Exon	colon	Cancer
1665	0.47	Intron	colon	Cancer
1666	1.041	TTS	colon	Cancer
1667	0.836	3UTR	colon	Cancer
1668	-0.92	Intergenic	colon	Cancer
1669	1.204	SINE	colon	Cancer
1670	-1.687	LINE	colon	Cancer
1671	1.325	CpG-Island	lung	Cancer
1672	1.596	Promoter	lung	Cancer
1673	1.194	5UTR	lung	Cancer
1674	1.857	Exon	lung	Cancer
1675	0.466	Intron	lung	Cancer
1676	1.206	TTS	lung	Cancer
1677	1.044	3UTR	lung	Cancer
1678	-1.196	Intergenic	lung	Cancer
1679	1.3	SINE	lung	Cancer
1680	-1.762	LINE	lung	Cancer
1681	0.599	CpG-Island	lung	Cancer
1682	1.216	Promoter	lung	Cancer
1683	0.893	5UTR	lung	Cancer
1684	1.607	Exon	lung	Cancer
1685	0.325	Intron	lung	Cancer
1686	0.98	TTS	lung	Cancer
1687	0.884	3UTR	lung	Cancer
1688	-0.995	Intergenic	lung	Cancer
1689	1.318	SINE	lung	Cancer
1690	-1.407	LINE	lung	Cancer
1691	1.26	CpG-Island	lung	Cancer
1692	1.638	Promoter	lung	Cancer
1693	1.308	5UTR	lung	Cancer
1694	1.85	Exon	lung	Cancer
1695	0.464	Intron	lung	Cancer
1696	1.197	TTS	lung	Cancer
1697	1.047	3UTR	lung	Cancer
1698	-1.173	Intergenic	lung	Cancer
1699	1.281	SINE	lung	Cancer
1700	-1.733	LINE	lung	Cancer
1701	1.442	CpG-Island	lung	Cancer
1702	1.395	Promoter	lung	Cancer
1703	1.092	5UTR	lung	Cancer
1704	1.782	Exon	lung	Cancer
1705	0.338	Intron	lung	Cancer
1706	1.165	TTS	lung	Cancer
1707	0.993	3UTR	lung	Cancer
1708	-1.104	Intergenic	lung	Cancer
1709	1.464	SINE	lung	Cancer
1710	-1.958	LINE	lung	Cancer
1711	1.048	CpG-Island	lung	Cancer
1712	1.244	Promoter	lung	Cancer
1713	0.781	5UTR	lung	Cancer
1714	1.195	Exon	lung	Cancer
1715	0.528	Intron	lung	Cancer
1716	0.798	TTS	lung	Cancer
1717	0.687	3UTR	lung	Cancer
1718	-0.603	Intergenic	lung	Cancer
1719	0.987	SINE	lung	Cancer
1720	-1.47	LINE	lung	Cancer
1721	1.027	CpG-Island	lung	Cancer
1722	1.242	Promoter	lung	Cancer
1723	1	5UTR	lung	Cancer
1724	1.687	Exon	lung	Cancer
1725	0.338	Intron	lung	Cancer
1726	1.159	TTS	lung	Cancer
1727	0.946	3UTR	lung	Cancer
1728	-1.123	Intergenic	lung	Cancer
1729	1.417	SINE	lung	Cancer
1730	-1.575	LINE	lung	Cancer
1731	1.488	CpG-Island	lung	Cancer
1732	1.628	Promoter	lung	Cancer
1733	1.355	5UTR	lung	Cancer
1734	2.074	Exon	lung	Cancer
1735	0.543	Intron	lung	Cancer
1736	1.31	TTS	lung	Cancer
1737	1.21	3UTR	lung	Cancer
1738	-1.293	Intergenic	lung	Cancer
1739	1.233	SINE	lung	Cancer
1740	-1.874	LINE	lung	Cancer
1741	1.237	CpG-Island	lung	Cancer
1742	1.667	Promoter	lung	Cancer
1743	1.283	5UTR	lung	Cancer
1744	1.916	Exon	lung	Cancer
1745	0.455	Intron	lung	Cancer
1746	1.227	TTS	lung	Cancer
1747	1.114	3UTR	lung	Cancer
1748	-1.245	Intergenic	lung	Cancer
1749	1.278	SINE	lung	Cancer
1750	-1.703	LINE	lung	Cancer
1751	1.059	CpG-Island	lung	Cancer
1752	1.403	Promoter	lung	Cancer
1753	1.173	5UTR	lung	Cancer
1754	1.711	Exon	lung	Cancer
1755	0.369	Intron	lung	Cancer
1756	1.026	TTS	lung	Cancer
1757	0.921	3UTR	lung	Cancer
1758	-0.979	Intergenic	lung	Cancer
1759	1.182	SINE	lung	Cancer
1760	-1.349	LINE	lung	Cancer
1761	0.872	CpG-Island	lung	Cancer
1762	0.788	Promoter	lung	Cancer
1763	0.941	5UTR	lung	Cancer
1764	1.691	Exon	lung	Cancer
1765	0.263	Intron	lung	Cancer
1766	1.036	TTS	lung	Cancer
1767	0.817	3UTR	lung	Cancer
1768	-1.025	Intergenic	lung	Cancer
1769	1.487	SINE	lung	Cancer
1770	-1.603	LINE	lung	Cancer
1771	1.268	CpG-Island	colon	Cancer
1772	1.72	Promoter	colon	Cancer
1773	1.24	5UTR	colon	Cancer
1774	1.869	Exon	colon	Cancer
1775	0.423	Intron	colon	Cancer
1776	1.225	TTS	colon	Cancer
1777	1.054	3UTR	colon	Cancer
1778	-1.302	Intergenic	colon	Cancer
1779	1.345	SINE	colon	Cancer
1780	-1.77	LINE	colon	Cancer
1781	1.473	CpG-Island	pancreas	Cancer
1782	1.56	Promoter	pancreas	Cancer
1783	0.923	5UTR	pancreas	Cancer
1784	1.83	Exon	pancreas	Cancer
1785	0.569	Intron	pancreas	Cancer
1786	1.284	TTS	pancreas	Cancer
1787	1.015	3UTR	pancreas	Cancer
1788	-1.02	Intergenic	pancreas	Cancer
1789	1.149	SINE	pancreas	Cancer
1790	-1.807	LINE	pancreas	Cancer
1791	1.313	CpG-Island	pancreas	Cancer
1792	1.562	Promoter	pancreas	Cancer
1793	1.21	5UTR	pancreas	Cancer
1794	1.679	Exon	pancreas	Cancer
1795	0.74	Intron	pancreas	Cancer
1796	0.874	TTS	pancreas	Cancer
1797	0.923	3UTR	pancreas	Cancer
1798	-0.55	Intergenic	pancreas	Cancer
1799	0.326	SINE	pancreas	Cancer
1800	-1.171	LINE	pancreas	Cancer
1801	0.558	CpG-Island	pancreas	Cancer
1802	0.958	Promoter	pancreas	Cancer
1803	0.717	5UTR	pancreas	Cancer
1804	1.051	Exon	pancreas	Cancer
1805	0.601	Intron	pancreas	Cancer
1806	0.433	TTS	pancreas	Cancer
1807	0.35	3UTR	pancreas	Cancer
1808	-0.49	Intergenic	pancreas	Cancer
1809	0.714	SINE	pancreas	Cancer
1810	-1.046	LINE	pancreas	Cancer
1811	1.471	CpG-Island	pancreas	Cancer
1812	1.654	Promoter	pancreas	Cancer
1813	1.339	5UTR	pancreas	Cancer
1814	1.716	Exon	pancreas	Cancer
1815	0.78	Intron	pancreas	Cancer
1816	0.855	TTS	pancreas	Cancer
1817	0.981	3UTR	pancreas	Cancer
1818	-0.64	Intergenic	pancreas	Cancer
1819	0.26	SINE	pancreas	Cancer
1820	-1.167	LINE	pancreas	Cancer
1821	0.381	CpG-Island	breast	Cancer
1822	1.227	Promoter	breast	Cancer
1823	0.906	5UTR	breast	Cancer
1824	1.691	Exon	breast	Cancer
1825	0.307	Intron	breast	Cancer
1826	0.983	TTS	breast	Cancer
1827	0.941	3UTR	breast	Cancer
1828	-1.094	Intergenic	breast	Cancer
1829	1.169	SINE	breast	Cancer
1830	-1.02	LINE	breast	Cancer
1831	0.302	CpG-Island	colon	Cancer
1832	1.158	Promoter	colon	Cancer
1833	0.848	5UTR	colon	Cancer
1834	1.684	Exon	colon	Cancer
1835	0.286	Intron	colon	Cancer
1836	0.939	TTS	colon	Cancer
1837	0.936	3UTR	colon	Cancer
1838	-1.055	Intergenic	colon	Cancer
1839	1.173	SINE	colon	Cancer
1840	-1.007	LINE	colon	Cancer
1841	1.196	CpG-Island	breast	Cancer
1842	1.345	Promoter	breast	Cancer
1843	1.179	5UTR	breast	Cancer
1844	1.608	Exon	breast	Cancer
1845	0.537	Intron	breast	Cancer
1846	0.945	TTS	breast	Cancer
1847	0.91	3UTR	breast	Cancer
1848	-0.938	Intergenic	breast	Cancer
1849	0.904	SINE	breast	Cancer
1850	-0.984	LINE	breast	Cancer
1851	0.612	CpG-Island	breast	Cancer
1852	1.03	Promoter	breast	Cancer
1853	0.771	5UTR	breast	Cancer
1854	1.534	Exon	breast	Cancer
1855	0.201	Intron	breast	Cancer
1856	0.939	TTS	breast	Cancer
1857	0.753	3UTR	breast	Cancer
1858	-0.992	Intergenic	breast	Cancer
1859	1.442	SINE	breast	Cancer
1860	-1.489	LINE	breast	Cancer
1861	0.98	CpG-Island	breast	Cancer
1862	1.195	Promoter	breast	Cancer
1863	0.955	5UTR	breast	Cancer
1864	1.677	Exon	breast	Cancer
1865	0.64	Intron	breast	Cancer
1866	0.896	TTS	breast	Cancer
1867	0.917	3UTR	breast	Cancer
1868	-0.812	Intergenic	breast	Cancer
1869	0.76	SINE	breast	Cancer
1870	-1.137	LINE	breast	Cancer
1871	0.39	CpG-Island	breast	Cancer
1872	0.91	Promoter	breast	Cancer
1873	0.792	5UTR	breast	Cancer
1874	1.372	Exon	breast	Cancer
1875	0.404	Intron	breast	Cancer
1876	0.746	TTS	breast	Cancer
1877	0.687	3UTR	breast	Cancer
1878	-0.9	Intergenic	breast	Cancer
1879	1.153	SINE	breast	Cancer
1880	-0.977	LINE	breast	Cancer
1881	0.971	CpG-Island	colon	Cancer
1882	1.224	Promoter	colon	Cancer
1883	1.116	5UTR	colon	Cancer
1884	1.555	Exon	colon	Cancer
1885	0.474	Intron	colon	Cancer
1886	1.044	TTS	colon	Cancer
1887	0.865	3UTR	colon	Cancer
1888	-0.829	Intergenic	colon	Cancer
1889	1.086	SINE	colon	Cancer
1890	-1.438	LINE	colon	Cancer
1891	-0.239	CpG-Island	colon	Cancer
1892	1.036	Promoter	colon	Cancer
1893	0.933	5UTR	colon	Cancer
1894	1.224	Exon	colon	Cancer
1895	0.53	Intron	colon	Cancer
1896	0.825	TTS	colon	Cancer
1897	0.764	3UTR	colon	Cancer
1898	-1.413	Intergenic	colon	Cancer
1899	1.307	SINE	colon	Cancer
1900	-1.248	LINE	colon	Cancer
1901	1.108	CpG-Island	colon	Cancer
1902	1.131	Promoter	colon	Cancer
1903	0.932	5UTR	colon	Cancer
1904	1.433	Exon	colon	Cancer
1905	0.397	Intron	colon	Cancer
1906	0.918	TTS	colon	Cancer
1907	0.698	3UTR	colon	Cancer
1908	-1.142	Intergenic	colon	Cancer
1909	1.322	SINE	colon	Cancer
1910	-1.357	LINE	colon	Cancer
1911	1.066	CpG-Island	colon	Cancer
1912	1.431	Promoter	colon	Cancer
1913	0.992	5UTR	colon	Cancer
1914	1.767	Exon	colon	Cancer
1915	0.346	Intron	colon	Cancer
1916	1.102	TTS	colon	Cancer
1917	0.954	3UTR	colon	Cancer
1918	-1.082	Intergenic	colon	Cancer
1919	1.241	SINE	colon	Cancer
1920	-1.381	LINE	colon	Cancer
1921	1.58	CpG-Island	colon	Cancer
1922	1.541	Promoter	colon	Cancer
1923	1.123	5UTR	colon	Cancer
1924	1.905	Exon	colon	Cancer
1925	0.566	Intron	colon	Cancer
1926	1.285	TTS	colon	Cancer
1927	1.014	3UTR	colon	Cancer
1928	-1.025	Intergenic	colon	Cancer
1929	1.146	SINE	colon	Cancer
1930	-1.835	LINE	colon	Cancer
1931	1.046	CpG-Island	colon	Cancer
1932	1.215	Promoter	colon	Cancer
1933	0.999	5UTR	colon	Cancer
1934	1.54	Exon	colon	Cancer
1935	0.512	Intron	colon	Cancer
1936	0.913	TTS	colon	Cancer
1937	0.803	3UTR	colon	Cancer
1938	-0.994	Intergenic	colon	Cancer
1939	1.1	SINE	colon	Cancer
1940	-1.339	LINE	colon	Cancer
1941	0.793	CpG-Island	colon	Cancer
1942	1.098	Promoter	colon	Cancer
1943	0.828	5UTR	colon	Cancer
1944	1.479	Exon	colon	Cancer
1945	0.317	Intron	colon	Cancer
1946	0.902	TTS	colon	Cancer
1947	0.797	3UTR	colon	Cancer
1948	-1.375	Intergenic	colon	Cancer
1949	1.509	SINE	colon	Cancer
1950	-1.506	LINE	colon	Cancer
1951	1.034	CpG-Island	colon	Cancer
1952	1.282	Promoter	colon	Cancer
1953	0.902	5UTR	colon	Cancer
1954	1.584	Exon	colon	Cancer
1955	0.274	Intron	colon	Cancer
1956	0.984	TTS	colon	Cancer
1957	0.811	3UTR	colon	Cancer
1958	-1.317	Intergenic	colon	Cancer
1959	1.525	SINE	colon	Cancer
1960	-1.609	LINE	colon	Cancer
1961	1.175	CpG-Island	colon	Cancer
1962	1.431	Promoter	colon	Cancer
1963	1.045	5UTR	colon	Cancer
1964	1.687	Exon	colon	Cancer
1965	0.502	Intron	colon	Cancer
1966	1.078	TTS	colon	Cancer
1967	0.947	3UTR	colon	Cancer
1968	-1.081	Intergenic	colon	Cancer
1969	1.153	SINE	colon	Cancer
1970	-1.51	LINE	colon	Cancer
1971	0.839	CpG-Island	colon	Cancer
1972	1.406	Promoter	colon	Cancer
1973	1.108	5UTR	colon	Cancer
1974	1.748	Exon	colon	Cancer
1975	0.329	Intron	colon	Cancer
1976	1.073	TTS	colon	Cancer
1977	0.975	3UTR	colon	Cancer
1978	-1.156	Intergenic	colon	Cancer
1979	1.298	SINE	colon	Cancer
1980	-1.361	LINE	colon	Cancer
1981	1.779	CpG-Island	colon	Cancer
1982	1.73	Promoter	colon	Cancer
1983	1.14	5UTR	colon	Cancer
1984	1.977	Exon	colon	Cancer
1985	0.594	Intron	colon	Cancer
1986	1.269	TTS	colon	Cancer
1987	1.068	3UTR	colon	Cancer
1988	-1.134	Intergenic	colon	Cancer
1989	1.14	SINE	colon	Cancer
