SampleID	subtype	pathway	mean_fpkm
pancreas_N_1	Normal	MESENCHYMAL_STROMAL	0.579998616480857
pancreas_N_10	Normal	MESENCHYMAL_STROMAL	0.561369617351942
pancreas_N_2	Normal	MESENCHYMAL_STROMAL	0.542621204587539
pancreas_N_3	Normal	MESENCHYMAL_STROMAL	0.545484236920388
pancreas_N_4	Normal	MESENCHYMAL_STROMAL	0.511576262680194
pancreas_N_5	Normal	MESENCHYMAL_STROMAL	0.565954761184603
pancreas_N_6	Normal	MESENCHYMAL_STROMAL	0.549921410295037
pancreas_N_7	Normal	MESENCHYMAL_STROMAL	0.556520503624361
pancreas_N_8	Normal	MESENCHYMAL_STROMAL	0.634603022232764
pancreas_N_9	Normal	MESENCHYMAL_STROMAL	0.575011336849956
pancreas_T_1	PDAC	MESENCHYMAL_STROMAL	0.888640896076061
pancreas_T_10	PDAC	MESENCHYMAL_STROMAL	0.804554773394422
pancreas_T_11	PDAC	MESENCHYMAL_STROMAL	0.55023792135328
pancreas_T_12	PDAC	MESENCHYMAL_STROMAL	0.695233179178333
pancreas_T_13	PDAC	MESENCHYMAL_STROMAL	0.811419240152552
pancreas_T_14	PDAC	MESENCHYMAL_STROMAL	0.735796332013783
pancreas_T_15	PDAC	MESENCHYMAL_STROMAL	0.765855558685884
pancreas_T_16	PDAC	MESENCHYMAL_STROMAL	0.884311790468226
pancreas_T_17	PDAC	MESENCHYMAL_STROMAL	0.837511750836225
pancreas_T_18	PDAC	MESENCHYMAL_STROMAL	0.511286686431305
pancreas_T_19	PDAC	MESENCHYMAL_STROMAL	0.600281318072977
pancreas_T_2	PDAC	MESENCHYMAL_STROMAL	1.0082337355333
pancreas_T_20	PDAC	MESENCHYMAL_STROMAL	0.604931290930993
pancreas_T_22	PDAC	MESENCHYMAL_STROMAL	0.703263057567881
pancreas_T_23	PDAC	MESENCHYMAL_STROMAL	0.761332744289819
pancreas_T_25	PDAC	MESENCHYMAL_STROMAL	0.680156941972016
pancreas_T_26	PDAC	MESENCHYMAL_STROMAL	0.944115248617564
pancreas_T_27	PDAC	MESENCHYMAL_STROMAL	0.815531151546216
pancreas_T_29	PDAC	MESENCHYMAL_STROMAL	0.66172122804795
pancreas_T_3	PDAC	MESENCHYMAL_STROMAL	0.708916411347929
pancreas_T_30	PDAC	MESENCHYMAL_STROMAL	0.879587684817237
pancreas_T_31	PDAC	MESENCHYMAL_STROMAL	0.751631791000143
pancreas_T_32	PDAC	MESENCHYMAL_STROMAL	0.899150824476504
pancreas_T_33	PDAC	MESENCHYMAL_STROMAL	0.877003826888776
pancreas_T_34	PDAC	MESENCHYMAL_STROMAL	0.745086180124451
pancreas_T_35	PDAC	MESENCHYMAL_STROMAL	0.823268670583551
pancreas_T_36	PDAC	MESENCHYMAL_STROMAL	0.973775199652871
pancreas_T_39	PDAC	MESENCHYMAL_STROMAL	0.626334563435588
pancreas_T_4	PDAC	MESENCHYMAL_STROMAL	0.846957196235803
pancreas_T_40	PDAC	MESENCHYMAL_STROMAL	0.595607758604725
pancreas_T_41	PDAC	MESENCHYMAL_STROMAL	0.668795773319547
pancreas_T_5	PDAC	MESENCHYMAL_STROMAL	0.645561851384941
pancreas_T_8	PDAC	MESENCHYMAL_STROMAL	0.904248536821769
pancreas_T_9	PDAC	MESENCHYMAL_STROMAL	0.662508651761489
pancreas_N_1	Normal	MYELOID	0.322623908196752
pancreas_N_10	Normal	MYELOID	0.302187049366867
pancreas_N_2	Normal	MYELOID	0.278230465613417
pancreas_N_3	Normal	MYELOID	0.315264088905542
pancreas_N_4	Normal	MYELOID	0.280887870367265
pancreas_N_5	Normal	MYELOID	0.318898893355165
pancreas_N_6	Normal	MYELOID	0.294892199582723
pancreas_N_7	Normal	MYELOID	0.295933700110638
pancreas_N_8	Normal	MYELOID	0.307175740411592
pancreas_N_9	Normal	MYELOID	0.302464823891186
pancreas_T_1	PDAC	MYELOID	0.606239947805458
pancreas_T_10	PDAC	MYELOID	0.550025253732136
pancreas_T_11	PDAC	MYELOID	0.303066928296734
pancreas_T_12	PDAC	MYELOID	0.445893237584063
pancreas_T_13	PDAC	MYELOID	0.510994685705672
pancreas_T_14	PDAC	MYELOID	0.48696807911152
pancreas_T_15	PDAC	MYELOID	0.473844840106988
pancreas_T_16	PDAC	MYELOID	0.50285283626156
pancreas_T_17	PDAC	MYELOID	0.469832286318308
pancreas_T_18	PDAC	MYELOID	0.337034446390403
pancreas_T_19	PDAC	MYELOID	0.330472270057296
pancreas_T_2	PDAC	MYELOID	0.905365361115172
pancreas_T_20	PDAC	MYELOID	0.376475809589285
pancreas_T_22	PDAC	MYELOID	0.642971198620092
pancreas_T_23	PDAC	MYELOID	0.440661148478645
pancreas_T_25	PDAC	MYELOID	0.412848058336104
pancreas_T_26	PDAC	MYELOID	0.576580439310548
pancreas_T_27	PDAC	MYELOID	0.615629916174806
pancreas_T_29	PDAC	MYELOID	0.414896133999858
pancreas_T_3	PDAC	MYELOID	0.650881717090528
pancreas_T_30	PDAC	MYELOID	0.478766863632258
pancreas_T_31	PDAC	MYELOID	0.451647654050009
pancreas_T_32	PDAC	MYELOID	0.467368997006178
pancreas_T_33	PDAC	MYELOID	0.514943043875222
pancreas_T_34	PDAC	MYELOID	0.43553451691244
pancreas_T_35	PDAC	MYELOID	0.68893578758723
pancreas_T_36	PDAC	MYELOID	0.912527628055775
pancreas_T_39	PDAC	MYELOID	0.435809584620378
pancreas_T_4	PDAC	MYELOID	0.628338551905654
pancreas_T_40	PDAC	MYELOID	0.407521991834752
pancreas_T_41	PDAC	MYELOID	0.416756645114785
pancreas_T_5	PDAC	MYELOID	0.373391305234569
pancreas_T_8	PDAC	MYELOID	0.750297865688797
pancreas_T_9	PDAC	MYELOID	0.417742198766085
pancreas_N_1	Normal	LYMPHOID	0.405503647133469
pancreas_N_10	Normal	LYMPHOID	0.369275282887318
pancreas_N_2	Normal	LYMPHOID	0.371713862063998
pancreas_N_3	Normal	LYMPHOID	0.395448866765265
pancreas_N_4	Normal	LYMPHOID	0.353165812344415
pancreas_N_5	Normal	LYMPHOID	0.400969841156178
pancreas_N_6	Normal	LYMPHOID	0.385429398296121
pancreas_N_7	Normal	LYMPHOID	0.373117087724882
pancreas_N_8	Normal	LYMPHOID	0.396359060229399
pancreas_N_9	Normal	LYMPHOID	0.383450881629516
pancreas_T_1	PDAC	LYMPHOID	0.540537464302714
pancreas_T_10	PDAC	LYMPHOID	0.584256022224044
pancreas_T_11	PDAC	LYMPHOID	0.373090860690256
pancreas_T_12	PDAC	LYMPHOID	0.516372002155216
pancreas_T_13	PDAC	LYMPHOID	0.519720619054224
pancreas_T_14	PDAC	LYMPHOID	0.488963367429116
pancreas_T_15	PDAC	LYMPHOID	0.548174879426672
pancreas_T_16	PDAC	LYMPHOID	0.534363389406354
pancreas_T_17	PDAC	LYMPHOID	0.531053237788132
pancreas_T_18	PDAC	LYMPHOID	0.357417065963905
pancreas_T_19	PDAC	LYMPHOID	0.466499362456349
pancreas_T_2	PDAC	LYMPHOID	0.668873886864081
pancreas_T_20	PDAC	LYMPHOID	0.471627380869978
pancreas_T_22	PDAC	LYMPHOID	0.513248614942856
pancreas_T_23	PDAC	LYMPHOID	0.503820688125611
pancreas_T_25	PDAC	LYMPHOID	0.452177247870964
pancreas_T_26	PDAC	LYMPHOID	0.582487211420946
pancreas_T_27	PDAC	LYMPHOID	0.605038872351061
pancreas_T_29	PDAC	LYMPHOID	0.456790450092015
pancreas_T_3	PDAC	LYMPHOID	0.522189318634428
pancreas_T_30	PDAC	LYMPHOID	0.48605571411702
pancreas_T_31	PDAC	LYMPHOID	0.504470613130476
pancreas_T_32	PDAC	LYMPHOID	0.580129067154559
pancreas_T_33	PDAC	LYMPHOID	0.557907034313878
pancreas_T_34	PDAC	LYMPHOID	0.485842225779466
pancreas_T_35	PDAC	LYMPHOID	0.829202750754244
pancreas_T_36	PDAC	LYMPHOID	0.696849046115855
pancreas_T_39	PDAC	LYMPHOID	0.377299317392892
pancreas_T_4	PDAC	LYMPHOID	0.697596167892696
pancreas_T_40	PDAC	LYMPHOID	0.391288920585262
pancreas_T_41	PDAC	LYMPHOID	0.482160167566863
pancreas_T_5	PDAC	LYMPHOID	0.431456215714484
pancreas_T_8	PDAC	LYMPHOID	0.903590795908478
pancreas_T_9	PDAC	LYMPHOID	0.467150164167168
pancreas_N_1	Normal	ACINAR	0.986429374938884
pancreas_N_10	Normal	ACINAR	0.985857135768172
pancreas_N_2	Normal	ACINAR	1.04197711485176
pancreas_N_3	Normal	ACINAR	0.890153839608652
pancreas_N_4	Normal	ACINAR	0.915671097010958
pancreas_N_5	Normal	ACINAR	0.985222821834702
pancreas_N_6	Normal	ACINAR	1.03860463195013
pancreas_N_7	Normal	ACINAR	1.03654010896598
pancreas_N_8	Normal	ACINAR	0.989412436777196
pancreas_N_9	Normal	ACINAR	1.01871662923425
pancreas_T_1	PDAC	ACINAR	0.74524926113544
pancreas_T_10	PDAC	ACINAR	0.722652564189292
pancreas_T_11	PDAC	ACINAR	1.03264200953152
pancreas_T_12	PDAC	ACINAR	0.625096988248315
pancreas_T_13	PDAC	ACINAR	0.699098848815237
pancreas_T_14	PDAC	ACINAR	0.605829477193181
pancreas_T_15	PDAC	ACINAR	0.787180316709622
pancreas_T_16	PDAC	ACINAR	0.712305221661435
pancreas_T_17	PDAC	ACINAR	0.636391767884844
pancreas_T_18	PDAC	ACINAR	0.571394792673576
pancreas_T_19	PDAC	ACINAR	0.654330290883525
pancreas_T_2	PDAC	ACINAR	0.736216205062132
pancreas_T_20	PDAC	ACINAR	0.840840041950177
pancreas_T_22	PDAC	ACINAR	0.567062086790344
pancreas_T_23	PDAC	ACINAR	0.76260894536035
pancreas_T_25	PDAC	ACINAR	0.736471480293521
pancreas_T_26	PDAC	ACINAR	0.714946557250056
pancreas_T_27	PDAC	ACINAR	0.708031343066922
pancreas_T_29	PDAC	ACINAR	0.818903473557562
pancreas_T_3	PDAC	ACINAR	0.598182748926221
pancreas_T_30	PDAC	ACINAR	0.663396270808699
pancreas_T_31	PDAC	ACINAR	0.777362825800651
pancreas_T_32	PDAC	ACINAR	0.676136195026188
pancreas_T_33	PDAC	ACINAR	0.722400951925503
pancreas_T_34	PDAC	ACINAR	0.769130349700439
pancreas_T_35	PDAC	ACINAR	0.687175296666836
pancreas_T_36	PDAC	ACINAR	0.702300510886727
pancreas_T_39	PDAC	ACINAR	0.614992588465673
pancreas_T_4	PDAC	ACINAR	0.712942511315357
pancreas_T_40	PDAC	ACINAR	0.55061218173747
pancreas_T_41	PDAC	ACINAR	0.832221999822854
pancreas_T_5	PDAC	ACINAR	0.949509391805828
pancreas_T_8	PDAC	ACINAR	0.730057710910184
pancreas_T_9	PDAC	ACINAR	0.81765386503903
pancreas_N_1	Normal	DUCTAL	0.911230614212051
pancreas_N_10	Normal	DUCTAL	0.863891739756646
pancreas_N_2	Normal	DUCTAL	0.918936589729912
pancreas_N_3	Normal	DUCTAL	0.788639592389646
pancreas_N_4	Normal	DUCTAL	0.769952994530418
pancreas_N_5	Normal	DUCTAL	0.890147463701586
pancreas_N_6	Normal	DUCTAL	0.908293110040468
pancreas_N_7	Normal	DUCTAL	0.913573813062201
pancreas_N_8	Normal	DUCTAL	0.950488567154819
pancreas_N_9	Normal	DUCTAL	0.92284528233245
pancreas_T_1	PDAC	DUCTAL	0.678452263551168
pancreas_T_10	PDAC	DUCTAL	0.693575950538924
pancreas_T_11	PDAC	DUCTAL	0.865833474847613
pancreas_T_12	PDAC	DUCTAL	0.580822516586574
pancreas_T_13	PDAC	DUCTAL	0.641223221222295
pancreas_T_14	PDAC	DUCTAL	0.474729823557801
pancreas_T_15	PDAC	DUCTAL	0.76824117161968
pancreas_T_16	PDAC	DUCTAL	0.702051473859798
pancreas_T_17	PDAC	DUCTAL	0.585724570468579
pancreas_T_18	PDAC	DUCTAL	0.51747721011133
pancreas_T_19	PDAC	DUCTAL	0.603642162340291
pancreas_T_2	PDAC	DUCTAL	0.574183555154594
pancreas_T_20	PDAC	DUCTAL	0.762484584235503
pancreas_T_22	PDAC	DUCTAL	0.36034305226051
pancreas_T_23	PDAC	DUCTAL	0.697325729211851
pancreas_T_25	PDAC	DUCTAL	0.765543844037636
pancreas_T_26	PDAC	DUCTAL	0.691136790092168
pancreas_T_27	PDAC	DUCTAL	0.593924961915428
pancreas_T_29	PDAC	DUCTAL	0.815802328450384
pancreas_T_3	PDAC	DUCTAL	0.419093536179003
pancreas_T_30	PDAC	DUCTAL	0.580431166151288
pancreas_T_31	PDAC	DUCTAL	0.807439508768665
pancreas_T_32	PDAC	DUCTAL	0.632168573609206
pancreas_T_33	PDAC	DUCTAL	0.69650047531853
pancreas_T_34	PDAC	DUCTAL	0.80460268069189
pancreas_T_35	PDAC	DUCTAL	0.5701914231514
pancreas_T_36	PDAC	DUCTAL	0.514555071640942
pancreas_T_39	PDAC	DUCTAL	0.440625850408421
pancreas_T_4	PDAC	DUCTAL	0.63688845070207
pancreas_T_40	PDAC	DUCTAL	0.39834069458039
pancreas_T_41	PDAC	DUCTAL	0.715467614752986
pancreas_T_5	PDAC	DUCTAL	0.872462900594319
pancreas_T_8	PDAC	DUCTAL	0.580969447854119
pancreas_T_9	PDAC	DUCTAL	0.806017353519871
